experiment	tube	timepoint	rootID	layerID	segmentID	length_pixel	startDiameter_pixel	endDiameter_pixel	surfaceArea_pixel^2	volume_pixel^3	children	status	statusName
me	T23	1	316	1	13	8.94427190999916	2.6815710067749023	2.6815710067749023	75.35015804289618	50.51419982320102	1	0	LIVING
me	T23	1	316	1	14	31.064449134018133	2.6815710067749023	2.6815710067749023	261.6994625517815	175.44142292892386	1	0	LIVING
me	T23	1	316	1	15	28.0178514522438	2.6815710067749023	2.6815710067749023	236.03369354064696	158.23527740622313	1	0	LIVING
me	T23	1	316	1	16	16.15549442140351	2.6815710067749023	4.0138163566589355	170.053154292992	144.07735262654833	1	0	LIVING
me	T23	1	316	1	17	50.08991914547278	4.0138163566589355	2.6815710067749023	526.8467621194284	446.71012570165675	1	0	LIVING
me	T23	1	316	1	18	15.297058540778355	2.6815710067749023	2.6815710067749023	128.86859771676959	86.39257388544155	1	0	LIVING
me	T23	1	316	1	19	25.709920264364882	2.6815710067749023	2.6815710067749023	216.590749329124	145.20086852690673	1	0	LIVING
me	T23	1	316	1	20	56.00892785976178	2.6815710067749023	2.6815710067749023	471.841823293431	316.31933848392174	1	0	LIVING
me	T23	1	316	1	21	50.21951811795888	2.6815710067749023	2.6815710067749023	423.06949800977657	283.6227251096257	1	0	LIVING
me	T23	1	316	1	22	42.1070065428546	2.6815710067749023	4.0138163566589355	442.89858281388445	375.5171999988966	1	0	LIVING
me	T23	1	316	1	23	43.289721643826724	4.0138163566589355	4.0138163566589355	545.8736921192499	547.7591867469185	1	0	LIVING
me	T23	1	316	1	24	47.853944456021594	4.0138163566589355	2.6815710067749023	503.33299161652	426.7693361849155	1	0	LIVING
me	T23	1	316	1	25	30.066592756745816	2.6815710067749023	2.6815710067749023	253.29311752021724	169.8058701479268	1	0	LIVING
me	T23	1	316	1	26	13.038404810405298	2.6815710067749023	2.6815710067749023	109.84078670427958	73.63646729392202	1	0	LIVING
me	T23	1	316	1	27	12.041594578792296	2.6815710067749023	2.6815710067749023	101.44325482615685	68.00682278711552	1	0	LIVING
me	T23	1	316	1	28	13.152946437965905	2.6815710067749023	2.6815710067749023	110.80573162389162	74.28335937422683	0	0	LIVING
me	T23	1	320	1	1	13.0	2.6815710067749023	2.6815710067749023	109.51724907452446	73.41957001189547	1	0	LIVING
me	T23	1	320	1	2	40.01249804748511	2.6815710067749023	2.6815710067749023	337.08143959695	225.976953980628	1	0	LIVING
me	T23	1	320	1	3	28.635642126552707	2.6815710067749023	2.6815710067749023	241.2382116294321	161.72434861123227	1	0	LIVING
me	T23	1	320	1	4	107.0	2.6815710067749023	2.6815710067749023	901.4112039210858	604.2995377902165	1	0	LIVING
me	T23	1	320	1	5	82.38931969618392	2.6815710067749023	4.0138163566589355	866.524200325677	734.7614846625826	1	0	LIVING
me	T23	1	320	1	6	87.36704184073076	4.0138163566589355	4.0138163566589355	1101.6788255541408	1105.4841188609755	1	0	LIVING
me	T23	1	320	1	7	65.00769185258002	4.0138163566589355	4.0138163566589355	819.732431168884	822.5638574079726	1	0	LIVING
me	T23	1	320	1	8	62.00806399170998	4.0138163566589355	4.0138163566589355	781.9077958231311	784.6085725222847	1	0	LIVING
me	T23	1	320	1	9	22.135943621178654	4.0138163566589355	5.346061706542969	325.60021185565205	383.3463368070129	1	0	LIVING
me	T23	1	320	1	10	56.00892785976178	5.346061706542969	5.346061706542969	940.6782429707893	1257.230981782667	1	0	LIVING
me	T23	1	320	1	11	18.788294228055936	5.346061706542969	5.346061706542969	315.55218566437037	421.74036356318925	1	0	LIVING
me	T23	1	320	1	12	27.018512172212592	5.346061706542969	5.346061706542969	453.77991561415183	606.4838568170771	1	0	LIVING
me	T23	1	320	1	13	24.351591323771842	5.346061706542969	5.346061706542969	408.9885847724891	546.6195522366165	1	0	LIVING
me	T23	1	320	1	14	31.78049716414141	5.346061706542969	5.346061706542969	533.7581591984045	713.3760130395166	1	0	LIVING
me	T23	1	320	1	15	40.792156108742276	5.346061706542969	5.346061706542969	685.1103065468504	915.6604925921177	1	0	LIVING
me	T23	1	320	1	16	28.178005607210743	5.346061706542969	5.346061706542969	473.2537796720607	632.510976516695	1	0	LIVING
me	T23	1	320	1	17	15.033296378372908	5.346061706542969	5.346061706542969	252.48644035242387	337.4520221585968	1	0	LIVING
me	T23	1	320	1	18	44.0	5.346061706542969	5.346061706542969	738.9865200481764	987.6668829824056	1	0	LIVING
me	T23	1	320	1	19	30.14962686336267	5.346061706542969	5.346061706542969	506.3674508297136	676.7679088004548	1	0	LIVING
me	T23	1	320	1	20	42.01190307520001	5.346061706542969	4.0138163566589355	617.7560804025235	727.554669535776	1	0	LIVING
me	T23	1	320	1	21	11.661903789690601	4.0138163566589355	4.0138163566589355	147.05399427592963	147.56193140531943	1	0	LIVING
me	T23	1	320	1	22	33.24154027718932	4.0138163566589355	4.0138163566589355	419.16837609021064	420.6162196712748	1	0	LIVING
me	T23	1	320	1	23	34.23448553724738	4.0138163566589355	4.0138163566589355	431.6891933788913	433.18028493851284	1	0	LIVING
me	T23	1	320	1	24	33.734255586866	4.0138163566589355	4.0138163566589355	425.3814057666267	426.85070968594414	1	0	LIVING
me	T23	1	320	1	25	40.19950248448356	4.0138163566589355	4.0138163566589355	506.90672079410973	508.6576201552344	1	0	LIVING
me	T23	1	320	1	26	42.01190307520001	4.0138163566589355	4.0138163566589355	529.7606862271396	531.5905251482156	0	0	LIVING
me	T23	1	324	1	1	57.0350769263968	2.6815710067749023	2.6815710067749023	480.4865173640662	322.1146787331872	1	0	LIVING
me	T23	1	324	1	2	50.48762224545735	2.6815710067749023	1.3493257761001587	319.7011925339636	166.9362164555906	1	0	LIVING
me	T23	1	324	1	3	84.0	1.3493257761001587	1.3493257761001587	356.0786834216308	120.11653585361039	0	0	LIVING
me	T23	1	328	1	1	30.01666203960727	5.328980922698975	6.661226272583008	565.4782311846815	850.8033908492257	1	0	LIVING
me	T23	1	328	1	2	20.248456731316587	6.661226272583008	6.661226272583008	423.73660955044124	705.651366170342	1	0	LIVING
me	T23	1	328	1	3	17.029386365926403	6.661226272583008	6.661226272583008	356.37157622298304	593.4679325744945	0	0	LIVING
me	T23	1	332	1	1	12.0	2.664490222930908	3.9967355728149414	125.75445045741286	105.94287918506922	1	0	LIVING
me	T23	1	332	1	2	8.246211251235321	3.9967355728149414	3.9967355728149414	103.54037772401847	103.45587735955503	1	0	LIVING
me	T23	1	332	1	3	10.0	3.9967355728149414	3.9967355728149414	125.56115113896414	125.45867939540948	0	0	LIVING
me	T23	1	336	1	1	27.65863337187866	3.9967355728149414	2.664490222930908	289.48806556166284	244.18627114508874	1	0	LIVING
me	T23	1	336	1	2	26.076809620810597	2.664490222930908	2.664490222930908	218.2822692467749	145.40274400000757	0	0	LIVING
me	T23	1	340	1	1	32.64965543462902	2.664490222930908	2.664490222930908	273.30187174080316	182.05254246521008	1	0	LIVING
me	T23	1	340	1	2	28.653097563788805	2.664490222930908	2.664490222930908	239.8477132793762	159.76797278720622	1	0	LIVING
me	T23	1	340	1	3	13.0	2.664490222930908	2.664490222930908	108.81965782898044	72.48722905472287	1	0	LIVING
me	T23	1	340	1	4	42.485291572496	2.664490222930908	2.664490222930908	355.6334532064216	236.89546628247732	1	0	LIVING
me	T23	1	340	1	5	20.615528128088304	2.664490222930908	2.664490222930908	172.56728591248387	114.95096226960146	1	0	LIVING
me	T23	1	340	1	6	49.193495504995376	2.664490222930908	2.664490222930908	411.7861037126988	274.3000135902369	0	0	LIVING
me	T23	1	344	1	1	16.1245154965971	2.664490222930908	2.664490222930908	134.97417376906066	89.9093421690971	1	0	LIVING
me	T23	1	344	1	2	13.038404810405298	2.664490222930908	2.664490222930908	109.14113462338744	72.70137200000379	1	0	LIVING
me	T23	1	344	1	3	14.212670403551895	2.664490222930908	2.664490222930908	118.97061001158418	79.24900730934975	1	0	LIVING
me	T23	1	344	1	4	30.528675044947494	2.664490222930908	2.664490222930908	255.54769018179385	170.22608159387008	0	0	LIVING
me	T23	1	348	1	1	27.892651361962706	2.664490222930908	2.664490222930908	233.4822136270636	155.5277698629322	1	0	LIVING
me	T23	1	348	1	2	13.601470508735444	2.664490222930908	2.664490222930908	113.85441282550455	75.8409929421357	1	0	LIVING
me	T23	1	348	1	3	25.298221281347036	2.664490222930908	2.664490222930908	211.7649064244627	141.06138159215902	0	0	LIVING
me	T23	1	352	1	1	15.0	2.664490222930908	1.3365150690078735	94.36377902286931	48.87890879679633	1	0	LIVING
me	T23	1	352	1	2	16.64331697709324	1.3365150690078735	1.3365150690078735	69.88172502225103	23.349494618142376	1	0	LIVING
me	T23	1	352	1	3	32.38826948140329	1.3365150690078735	1.3365150690078735	135.99140994316895	45.438642128118055	1	0	LIVING
me	T23	1	352	1	4	17.029386365926403	1.3365150690078735	1.3365150690078735	71.50274773707885	23.891124939141278	0	0	LIVING
me	T23	1	356	1	1	44.181444068749045	5.311900615692139	5.311900615692139	737.2923372397186	979.1058988084451	1	0	LIVING
